anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.17,26.0,149133.0,ILI
2012,45,0.22,32.0,144145.0,ILI
2012,46,0.21,31.0,144618.0,ILI
2012,47,0.29,37.0,129370.0,ILI
2012,48,0.27,42.0,153241.0,ILI
2012,49,0.34,50.0,144952.0,ILI
2012,50,0.44,60.0,137350.0,ILI
2012,51,0.58,58.0,100745.0,ILI
2012,52,0.58,58.0,100745.0,ILI
2013,1,1.18,166.0,140345.0,ILI
2013,2,2.0,301.0,150486.0,ILI
2013,3,3.04,467.0,153568.0,ILI
2013,4,3.43,536.0,156206.0,ILI
2013,5,4.64,718.0,154777.0,ILI
2013,6,5.47,826.0,151089.0,ILI
2013,7,6.13,914.0,149168.0,ILI
2013,8,7.19,1057.0,146972.0,ILI
2013,9,5.48,842.0,153656.0,ILI
2013,10,4.06,584.0,143893.0,ILI
2013,11,2.71,380.0,140409.0,ILI
2013,12,1.67,239.0,143304.0,ILI
2013,13,1.28,157.0,122880.0,ILI
2013,14,0.88,109.0,124140.0,ILI
2013,15,0.57,67.0,116673.0,ILI
2013,16,0.39,39.0,100028.0,ILI
2013,17,0.32,34.0,104705.0,ILI
