anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.28,2.0,7033.0,ILI
2012,45,0.0,0.0,5446.0,ILI
2012,46,0.79,8.0,10091.0,ILI
2012,47,0.26,2.0,7592.0,ILI
2012,48,0.52,4.0,7672.0,ILI
2012,49,0.49,5.0,10301.0,ILI
2012,50,1.57,13.0,8297.0,ILI
2012,51,12.84,79.0,6153.0,ILI
2012,52,9.79,42.0,4292.0,ILI
2013,1,2.81,21.0,7465.0,ILI
2013,2,9.82,53.0,5398.0,ILI
2013,3,9.17,72.0,7848.0,ILI
2013,4,5.18,37.0,7144.0,ILI
2013,5,8.66,81.0,9355.0,ILI
2013,6,8.67,104.0,12002.0,ILI
2013,7,6.15,60.0,9751.0,ILI
