anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.69,40.0,58245.0,ILI
2012,45,0.61,34.0,55357.0,ILI
2012,46,0.77,47.0,61243.0,ILI
2012,47,0.87,54.0,61933.0,ILI
2012,48,0.81,44.0,54233.0,ILI
2012,49,1.1,67.0,60795.0,ILI
2012,50,1.38,82.0,59232.0,ILI
2012,51,2.08,103.0,49535.0,ILI
2012,52,2.08,103.0,49535.0,ILI
2013,1,2.35,147.0,62669.0,ILI
2013,2,3.25,196.0,60224.0,ILI
2013,3,4.25,266.0,62648.0,ILI
2013,4,5.89,377.0,64008.0,ILI
2013,5,8.45,475.0,56236.0,ILI
2013,6,8.12,468.0,57625.0,ILI
