anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.0,0.0,13098.0,ILI
2012,45,0.34,4.0,11899.0,ILI
2012,46,0.52,7.0,13575.0,ILI
2012,47,0.83,10.0,12027.0,ILI
2012,48,0.97,13.0,13381.0,ILI
2012,49,0.7,9.0,12826.0,ILI
2012,50,0.91,12.0,13237.0,ILI
2012,51,1.61,20.0,12446.0,ILI
2012,52,1.61,20.0,12446.0,ILI
2013,1,2.7,39.0,14420.0,ILI
2013,2,3.95,58.0,14671.0,ILI
2013,3,5.12,84.0,16420.0,ILI
2013,4,6.72,99.0,14737.0,ILI
2013,5,11.19,149.0,13317.0,ILI
2013,6,8.16,110.0,13485.0,ILI
2013,7,8.58,117.0,13630.0,ILI
2013,8,9.12,108.0,11844.0,ILI
