anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.0,0.0,0.0,ILI
2012,45,0.0,0.0,0.0,ILI
2012,46,0.0,0.0,0.0,ILI
2012,47,3.37,13.0,3860.0,ILI
2012,48,2.04,12.0,5871.0,ILI
2012,49,2.5,15.0,5989.0,ILI
2012,50,3.65,30.0,8220.0,ILI
2012,51,5.77,34.0,5896.0,ILI
2012,52,3.47,10.0,2884.0,ILI
2013,1,9.93,67.0,6746.0,ILI
2013,2,12.3,83.0,6746.0,ILI
2013,3,14.24,126.0,8846.0,ILI
2013,4,21.75,114.0,5242.0,ILI
2013,5,17.55,103.0,5870.0,ILI
2013,6,13.34,118.0,8846.0,ILI
2013,7,8.96,66.0,7370.0,ILI
2013,8,7.02,35.0,4986.0,ILI
