anno,settimana,incidenza,numero_casi,numero_assistiti,target
2012,44,0.07,6.0,90354.0,ILI
2012,45,0.3,24.0,78691.0,ILI
2012,46,0.0,0.0,0.0,ILI
2012,47,0.41,32.0,78691.0,ILI
2012,48,0.58,50.0,85942.0,ILI
2012,49,0.67,60.0,89376.0,ILI
2012,50,0.67,59.0,88376.0,ILI
2012,51,1.18,94.0,79919.0,ILI
2012,52,0.58,32.0,54776.0,ILI
2013,1,1.54,135.0,87635.0,ILI
2013,2,2.92,250.0,85529.0,ILI
2013,3,4.7,414.0,88052.0,ILI
2013,4,5.39,481.0,89296.0,ILI
2013,5,8.31,728.0,87635.0,ILI
2013,6,10.24,859.0,83864.0,ILI
