anno,settimana,incidenza,numero_casi,numero_assistiti
2013,43,0.63,6.0,9535.0
2013,44,0.31,8.0,25431.0
2013,45,1.39,9.0,6468.0
2013,46,0.62,5.0,8029.0
2013,47,1.62,58.0,35788.0
2013,48,1.89,84.0,44346.0
2013,49,2.95,127.0,43079.0
2013,50,1.66,79.0,47523.0
2013,52,4.16,244.0,58680.0
2014,01,7.43,148.0,19927.0
2014,02,7.09,537.0,75749.0
2014,04,9.81,514.0,52371.0
2014,05,9.92,294.0,29643.0
2014,06,11.46,665.0,58010.0
2014,07,9.97,209.0,20955.0
2014,08,8.04,273.0,33950.0
2014,09,6.8,305.0,44855.0
2014,10,6.44,200.0,31037.0
2014,11,5.11,335.0,65616.0
2014,12,4.12,67.0,16267.0
