anno,settimana,incidenza,numero_casi,numero_assistiti,target
2013,42,0.36,428,1176370,ILI
2013,43,0.46,565,1222506,ILI
2013,44,0.46,563,1236842,ILI
2013,45,0.67,885,1323302,ILI
2013,46,0.77,1025,1328309,ILI
2013,47,0.95,1270,1339233,ILI
2013,48,1.23,1649,1342072,ILI
2013,49,1.42,1914,1346922,ILI
2013,50,1.71,2279,1335692,ILI
2013,51,1.95,2540,1301515,ILI
2013,52,2.23,2766,1238876,ILI
2014,1,2.96,3842,1298530,ILI
2014,2,4.12,5592,1356857,ILI
2014,3,5.0,6763,1352620,ILI
2014,4,5.73,7744,1350548,ILI
2014,5,6.51,8716,1339157,ILI
2014,6,6.62,8780,1327162,ILI
2014,7,6.22,8151,1311337,ILI
2014,8,5.5,7110,1293502,ILI
2014,9,4.69,6008,1280406,ILI
2014,10,3.91,4993,1277850,ILI
2014,11,3.36,4141,1234184,ILI
2014,12,2.83,3454,1218836,ILI
2014,13,2.02,2410,1191042,ILI
2014,14,1.6,1856,1158845,ILI
2014,15,1.21,1304,1077706,ILI
2014,16,0.83,730,876296,ILI
2014,17,0.45,310,687533,ILI
