anno,settimana,incidenza,numero_casi,numero_assistiti,target
2013,43,0.28,14.0,50163.0,ILI
2013,44,0.32,16.0,49233.0,ILI
2013,45,0.82,41.0,50096.0,ILI
2013,46,0.84,40.0,47535.0,ILI
2013,47,0.87,40.0,46153.0,ILI
2013,48,1.11,52.0,46970.0,ILI
2013,49,1.14,60.0,52772.0,ILI
2013,50,1.18,57.0,48336.0,ILI
2013,52,0.99,35.0,35318.0,ILI
2014,1,1.37,59.0,43181.0,ILI
2014,2,2.46,114.0,46354.0,ILI
2014,4,4.26,215.0,50521.0,ILI
2014,5,5.49,267.0,48610.0,ILI
2014,6,6.13,303.0,49460.0,ILI
2014,7,6.46,309.0,47818.0,ILI
2014,8,4.58,239.0,52214.0,ILI
2014,9,3.24,160.0,49309.0,ILI
2014,10,2.62,114.0,43451.0,ILI
2014,11,1.97,100.0,50764.0,ILI
2014,12,2.26,114.0,50362.0,ILI
2014,13,1.35,60.0,44568.0,ILI
