anno,settimana,incidenza,numero_casi,numero_assistiti,target
2013,43,0.66,112.0,168908.0,ILI
2013,44,0.69,124.0,178938.0,ILI
2013,45,0.78,149.0,190039.0,ILI
2013,46,0.72,141.0,195620.0,ILI
2013,47,1.03,185.0,178919.0,ILI
2013,48,1.02,201.0,197411.0,ILI
2013,49,1.33,245.0,183628.0,ILI
2013,50,1.72,337.0,195431.0,ILI
2013,52,1.8,229.0,127162.0,ILI
2014,1,1.86,321.0,172344.0,ILI
2014,2,2.93,565.0,192638.0,ILI
2014,4,4.34,845.0,194920.0,ILI
2014,5,4.94,979.0,198021.0,ILI
2014,6,5.05,954.0,189096.0,ILI
2014,7,4.45,852.0,191282.0,ILI
2014,8,3.86,763.0,197819.0,ILI
2014,9,3.15,557.0,176826.0,ILI
2014,10,2.55,485.0,189944.0,ILI
2014,11,1.89,344.0,181620.0,ILI
2014,12,1.48,262.0,176498.0,ILI
