anno,settimana,incidenza,numero_casi,numero_assistiti,target
2013,43,0.0,0.0,0.0,ILI
2013,44,0.0,0.0,0.0,ILI
2013,45,0.49,54.0,110283.0,ILI
2013,46,0.54,60.0,111935.0,ILI
2013,47,0.43,48.0,111935.0,ILI
2013,48,0.86,87.0,101462.0,ILI
2013,49,1.1,110.0,99554.0,ILI
2013,50,1.54,140.0,90701.0,ILI
2013,52,1.46,123.0,84355.0,ILI
2014,1,2.43,204.0,83837.0,ILI
2014,2,3.28,367.0,111935.0,ILI
2014,4,4.6,515.0,111935.0,ILI
2014,5,4.78,503.0,105150.0,ILI
2014,6,5.44,609.0,111935.0,ILI
2014,7,5.06,545.0,107657.0,ILI
2014,8,4.57,505.0,110478.0,ILI
2014,9,3.61,390.0,107944.0,ILI
2014,10,2.71,303.0,111935.0,ILI
2014,11,1.89,205.0,108629.0,ILI
2014,12,2.13,190.0,89391.0,ILI
2014,13,1.41,156.0,110748.0,ILI
2014,14,0.93,100.0,107541.0,ILI
2014,15,0.64,71.0,110392.0,ILI
2014,16,0.55,48.0,86734.0,ILI
