anno,settimana,incidenza,numero_casi,numero_assistiti,target
2014,42,0.35,415,1170185,ILI
2014,43,0.48,596,1239826,ILI
2014,44,0.65,832,1277547,ILI
2014,45,0.81,1040,1289699,ILI
2014,46,0.85,1091,1288281,ILI
2014,47,1.03,1348,1305350,ILI
2014,48,1.23,1605,1302857,ILI
2014,49,1.42,1885,1326715,ILI
2014,50,1.75,2326,1330494,ILI
2014,51,2.25,2942,1308574,ILI
2014,52,2.63,3369,1280676,ILI
2015,1,4.09,5181,1265357,ILI
2015,2,6.14,8292,1349399,ILI
2015,3,8.94,12096,1352350,ILI
2015,4,10.87,14601,1343495,ILI
2015,5,10.58,14253,1346764,ILI
2015,6,9.98,13289,1331269,ILI
2015,7,8.22,10971,1335114,ILI
2015,8,6.89,9059,1313972,ILI
2015,9,5.47,7079,1293391,ILI
