anno,settimana,incidenza,numero_casi,numero_assistiti,target
2014,45,0.91,87.0,95733.0,ILI
2014,46,0.72,67.0,93622.0,ILI
2014,47,0.83,79.0,94790.0,ILI
2014,48,1.21,108.0,89263.0,ILI
2014,49,1.25,107.0,85278.0,ILI
2014,50,1.83,184.0,100793.0,ILI
2014,51,2.19,271.0,123556.0,ILI
2014,52,3.35,357.0,106607.0,ILI
2015,1,4.53,452.0,99864.0,ILI
2015,2,6.79,740.0,108997.0,ILI
2015,3,10.14,1112.0,109714.0,ILI
2015,4,14.04,1531.0,109071.0,ILI
2015,5,14.72,1709.0,116127.0,ILI
2015,6,14.05,1600.0,113885.0,ILI
2015,7,11.07,1303.0,117705.0,ILI
2015,8,10.31,1095.0,106219.0,ILI
2015,9,7.61,898.0,117997.0,ILI
2015,10,5.02,559.0,111413.0,ILI
2015,11,4.72,555.0,117579.0,ILI
2015,12,3.69,356.0,96467.0,ILI
2015,13,2.75,309.0,112210.0,ILI
2015,14,2.33,227.0,97555.0,ILI
2015,15,1.92,173.0,89918.0,ILI
