anno,settimana,incidenza,numero_casi,numero_assistiti
2014,45,0.81,156.0,192107.0
2014,46,0.92,180.0,195799.0
2014,47,1.03,207.0,200099.0
2014,48,1.08,213.0,196521.0
2014,49,1.23,246.0,200381.0
2014,50,1.43,272.0,189989.0
2014,51,2.08,412.0,198506.0
2014,52,2.08,412.0,198506.0
2015,01,2.75,451.0,163826.0
2015,02,4.06,804.0,197855.0
2015,03,6.59,1269.0,192571.0
2015,04,6.59,1269.0,192571.0
2015,05,8.96,1808.0,201797.0
2015,06,8.49,1644.0,193701.0
2015,07,6.7,1225.0,182892.0
2015,08,4.92,974.0,197935.0
2015,09,3.89,724.0,186213.0
2015,10,2.89,533.0,184556.0
2015,11,2.54,463.0,182262.0
2015,12,2.21,402.0,181650.0
2015,13,1.45,267.0,184274.0
