anno,settimana,incidenza,numero_casi,numero_assistiti
2014,45,1.86,67.0,36014.0
2014,46,3.4,141.0,41511.0
2014,47,2.03,88.0,43253.0
2014,48,2.17,88.0,40475.0
2014,49,3.26,103.0,31597.0
2014,50,3.03,110.0,36298.0
2014,51,3.39,176.0,51874.0
2014,52,3.65,155.0,42481.0
2015,01,4.98,229.0,45943.0
2015,02,6.61,315.0,47671.0
2015,03,8.62,456.0,52918.0
2015,04,12.49,599.0,47953.0
2015,05,14.85,789.0,53130.0
2015,06,14.49,818.0,56449.0
2015,07,11.59,537.0,46315.0
2015,08,9.34,438.0,46903.0
2015,09,5.95,289.0,48543.0
2015,10,4.63,196.0,42358.0
