anno,settimana,incidenza,numero_casi,numero_assistiti,target
2014,45,0.0,0.0,0.0,ILI
2014,46,0.0,0.0,0.0,ILI
2014,47,0.0,0.0,0.0,ILI
2014,48,0.0,0.0,0.0,ILI
2014,49,0.0,0.0,0.0,ILI
2014,50,0.0,0.0,0.0,ILI
2014,51,0.0,0.0,0.0,ILI
2014,52,7.79,19.0,2438.0,ILI
2015,1,6.15,15.0,2438.0,ILI
2015,2,4.29,4.0,932.0,ILI
2015,3,6.15,15.0,2438.0,ILI
2015,4,7.3,11.0,1507.0,ILI
2015,5,43.99,41.0,932.0,ILI
2015,6,0.0,0.0,0.0,ILI
2015,7,12.88,12.0,932.0,ILI
2015,8,0.0,0.0,0.0,ILI
2015,9,7.51,7.0,932.0,ILI
2015,10,0.0,0.0,0.0,ILI
2015,11,3.98,6.0,1507.0,ILI
