anno,settimana,incidenza,numero_casi,numero_assistiti
2014,45,0.35,33.0,93059.0
2014,46,0.47,50.0,107277.0
2014,47,0.63,60.0,95512.0
2014,48,1.12,122.0,108765.0
2014,49,1.4,110.0,78614.0
2014,50,2.31,245.0,105986.0
2014,51,3.54,385.0,108765.0
2014,52,4.63,441.0,95174.0
2015,01,7.18,600.0,83534.0
2015,02,9.48,1031.0,108765.0
2015,03,9.63,882.0,91597.0
2015,04,9.49,1032.0,108765.0
2015,05,8.03,894.0,111339.0
2015,06,6.21,665.0,107107.0
2015,07,4.96,545.0,109781.0
2015,08,3.96,430.0,108576.0
2015,09,3.17,343.0,108362.0
2015,10,2.81,313.0,111339.0
