anno,settimana,incidenza,numero_casi,numero_assistiti,target
2015,44,0.69,13.0,18805.0,ILI
2015,45,0.39,9.0,22895.0,ILI
2015,46,0.98,23.0,23437.0,ILI
2015,47,0.84,19.0,22647.0,ILI
2015,48,1.41,28.0,19790.0,ILI
2015,49,0.82,15.0,18334.0,ILI
2015,50,0.9,17.0,18990.0,ILI
2015,51,1.6,31.0,19420.0,ILI
2015,52,1.82,74.0,40643.0,ILI
2015,53,2.14,47.0,21912.0,ILI
2016,1,2.94,63.0,21436.0,ILI
2016,2,2.8,69.0,24630.0,ILI
2016,3,3.12,71.0,22770.0,ILI
2016,4,3.64,93.0,25540.0,ILI
2016,5,2.69,51.0,18938.0,ILI
2016,6,5.75,129.0,22432.0,ILI
2016,7,5.66,134.0,23660.0,ILI
2016,8,6.28,153.0,24348.0,ILI
2016,9,8.76,167.0,19068.0,ILI
2016,10,5.9,158.0,26760.0,ILI
2016,11,6.77,163.0,24090.0,ILI
2016,12,4.47,109.0,24410.0,ILI
2016,13,4.05,92.0,22731.0,ILI
