anno,settimana,incidenza,numero_casi,numero_assistiti
2015,44,1.66,50.0,30177.0
2015,45,1.52,69.0,45477.0
2015,46,1.75,102.0,58307.0
2015,47,1.46,98.0,67277.0
2015,48,1.8,112.0,62192.0
2015,49,2.39,105.0,43982.0
2015,50,1.84,85.0,46076.0
2015,51,2.08,131.0,62883.0
2015,52,2.21,136.0,61505.0
2015,53,2.0,98.0,49001.0
2016,01,2.44,144.0,59126.0
2016,02,3.18,220.0,69131.0
2016,03,4.51,357.0,79223.0
2016,04,7.57,557.0,73623.0
2016,05,7.58,522.0,68822.0
2016,06,9.78,646.0,66077.0
2016,07,9.83,671.0,68294.0
2016,08,11.49,870.0,75726.0
