anno,settimana,incidenza,numero_casi,numero_assistiti
2015,44,1.52,25.0,16402.0
2015,45,2.44,40.0,16402.0
2015,46,1.39,17.0,12230.0
2015,47,2.26,40.0,17734.0
2015,48,2.32,38.0,16402.0
2015,49,2.62,23.0,8764.0
2015,50,2.56,42.0,16402.0
2015,51,2.7,42.0,15548.0
2015,52,3.04,54.0,17734.0
2015,53,3.23,45.0,13939.0
2016,01,2.29,27.0,11791.0
2016,02,4.39,65.0,14806.0
2016,03,6.95,103.0,14825.0
2016,04,7.88,138.0,17512.0
2016,05,12.75,189.0,14825.0
2016,06,10.99,161.0,14646.0
2016,07,11.78,162.0,13749.0
2016,08,11.31,198.0,17512.0
2016,09,10.91,179.0,16402.0
