anno,settimana,incidenza,numero_casi,numero_assistiti
2015,44,0.94,68.0,72700.0
2015,45,1.03,72.0,69740.0
2015,46,0.8,104.0,130520.0
2015,47,0.66,84.0,128139.0
2015,48,0.71,85.0,119191.0
2015,49,0.55,64.0,116491.0
2015,50,0.96,119.0,124424.0
2015,51,0.64,80.0,124994.0
2015,52,1.18,156.0,132505.0
2015,53,0.69,82.0,119494.0
2016,01,1.07,136.0,126658.0
2016,02,1.32,166.0,125958.0
2016,03,1.68,209.0,124330.0
2016,04,1.81,231.0,127714.0
2016,05,2.22,291.0,131279.0
2016,06,2.69,360.0,133962.0
2016,07,2.43,307.0,126232.0
2016,08,2.67,359.0,134396.0
2016,09,2.44,289.0,118260.0
2016,10,2.32,289.0,124335.0
