anno,settimana,incidenza,numero_casi,numero_assistiti,target
2015,44,0.22,22.0,100533.0,ILI
2015,45,0.43,44.0,102200.0,ILI
2015,46,0.52,50.0,95473.0,ILI
2015,47,0.69,83.0,119911.0,ILI
2015,48,0.82,102.0,123824.0,ILI
2015,49,0.81,73.0,90292.0,ILI
2015,50,0.86,102.0,118081.0,ILI
2015,51,1.25,132.0,105571.0,ILI
2015,52,1.03,108.0,104583.0,ILI
2015,53,1.33,133.0,99779.0,ILI
2016,1,1.93,235.0,121543.0,ILI
2016,2,2.3,272.0,118016.0,ILI
2016,3,3.83,472.0,123091.0,ILI
2016,4,4.78,588.0,123091.0,ILI
2016,5,6.93,815.0,117670.0,ILI
2016,6,7.77,957.0,123091.0,ILI
2016,7,6.83,834.0,122042.0,ILI
2016,8,7.46,882.0,118209.0,ILI
2016,9,6.53,787.0,120516.0,ILI
