anno,settimana,incidenza,numero_casi,numero_assistiti,target
2016,44,0.11,1.0,9372.0,ILI
2016,45,1.08,10.0,9275.0,ILI
2016,46,0.71,8.0,11190.0,ILI
2016,47,1.33,9.0,6777.0,ILI
2016,48,0.85,9.0,10643.0,ILI
2016,49,2.5,29.0,11579.0,ILI
2016,50,1.99,16.0,8035.0,ILI
2016,51,2.41,23.0,9550.0,ILI
2016,52,10.43,120.0,11508.0,ILI
2017,1,14.73,131.0,8895.0,ILI
2017,2,15.96,180.0,11276.0,ILI
2017,3,11.72,164.0,13988.0,ILI
2017,4,5.08,53.0,10431.0,ILI
2017,5,10.16,98.0,9647.0,ILI
2017,6,17.09,127.0,7432.0,ILI
2017,7,4.08,35.0,8575.0,ILI
2017,8,3.26,16.0,4915.0,ILI
2017,9,2.58,10.0,3875.0,ILI
