anno,settimana,incidenza,numero_casi,numero_assistiti
2017,44,1.01,2.0,1972.0
2017,45,2.19,4.0,1823.0
2017,46,1.67,5.0,3002.0
2017,47,5.64,22.0,3902.0
2017,48,4.0,12.0,3002.0
2017,49,3.41,14.0,4107.0
2017,50,8.99,27.0,3002.0
2017,51,14.37,59.0,4107.0
2017,52,21.57,108.0,5007.0
2018,01,15.32,46.0,3002.0
2018,02,18.32,55.0,3002.0
2018,03,17.94,70.0,3902.0
2018,04,17.65,53.0,3002.0
2018,05,11.66,35.0,3002.0
2018,06,11.99,36.0,3002.0
2018,07,7.69,30.0,3902.0
2018,08,6.33,19.0,3002.0
2018,09,7.77,8.0,1030.0
2018,10,6.8,7.0,1030.0
2018,11,0.0,0.0,0.0
2018,12,4.85,5.0,1030.0
2018,13,0.0,0.0,0.0
2018,14,4.85,5.0,1030.0
2018,15,8.74,9.0,1030.0
