anno,settimana,incidenza,numero_casi,numero_assistiti,target
2017,44,1.06,4.0,3785.0,ILI
2017,45,1.19,6.0,5045.0,ILI
2017,46,2.59,19.0,7339.0,ILI
2017,47,2.51,32.0,12750.0,ILI
2017,48,3.05,29.0,9505.0,ILI
2017,49,2.72,70.0,25708.0,ILI
2017,50,8.02,94.0,11722.0,ILI
2017,51,5.73,83.0,14490.0,ILI
2017,52,16.87,267.0,15824.0,ILI
2018,1,19.01,286.0,15047.0,ILI
2018,2,19.83,572.0,28850.0,ILI
2018,3,26.49,560.0,21142.0,ILI
2018,4,22.79,453.0,19878.0,ILI
2018,5,18.75,346.0,18457.0,ILI
2018,6,16.62,348.0,20939.0,ILI
2018,7,13.51,245.0,18135.0,ILI
2018,8,11.09,236.0,21285.0,ILI
2018,9,6.41,70.0,10922.0,ILI
2018,10,4.21,54.0,12815.0,ILI
2018,11,1.91,24.0,12598.0,ILI
