anno,settimana,incidenza,numero_casi,numero_assistiti
2017,44,0.18,2.0,11220.0
2017,45,1.07,13.0,12194.0
2017,46,0.46,7.0,15090.0
2017,47,0.21,2.0,9707.0
2017,48,1.12,15.0,13362.0
2017,49,1.56,27.0,17317.0
2017,50,1.85,31.0,16721.0
2017,51,3.66,25.0,6829.0
2017,52,11.66,90.0,7717.0
2018,01,8.23,120.0,14574.0
2018,02,15.44,219.0,14184.0
2018,03,17.41,253.0,14536.0
2018,04,15.25,181.0,11867.0
2018,05,9.81,132.0,13460.0
2018,06,11.25,179.0,15905.0
2018,07,8.16,98.0,12009.0
2018,08,7.29,96.0,13166.0
2018,09,4.54,48.0,10566.0
