anno,settimana,incidenza,numero_casi,numero_assistiti,target
2017,44,2.07,78.0,37728.0,ILI
2017,45,2.0,84.0,41943.0,ILI
2017,46,1.39,65.0,46838.0,ILI
2017,47,2.85,125.0,43855.0,ILI
2017,48,3.13,149.0,47547.0,ILI
2017,49,3.1,176.0,56756.0,ILI
2017,50,5.2,241.0,46312.0,ILI
2017,51,7.56,261.0,34527.0,ILI
2017,52,10.78,466.0,43226.0,ILI
2018,1,13.37,669.0,50046.0,ILI
2018,2,12.57,636.0,50613.0,ILI
2018,3,11.45,544.0,47531.0,ILI
2018,4,10.71,429.0,40054.0,ILI
2018,5,8.27,421.0,50906.0,ILI
2018,6,6.79,311.0,45796.0,ILI
