anno,settimana,incidenza,numero_casi,numero_assistiti
2017,44,0.0,0.0,0.0
2017,45,0.0,0.0,2966.0
2017,46,1.58,11.0,6946.0
2017,47,1.9,9.0,4744.0
2017,48,2.37,20.0,8450.0
2017,49,2.51,25.0,9950.0
2017,50,5.43,48.0,8844.0
2017,51,5.33,24.0,4501.0
2017,52,4.18,29.0,6946.0
2018,01,11.49,127.0,11050.0
2018,02,11.66,81.0,6946.0
2018,03,9.79,68.0,6946.0
2018,04,7.34,51.0,6946.0
2018,05,11.4,115.0,10086.0
2018,06,10.72,73.0,6808.0
2018,07,7.33,70.0,9546.0
2018,08,8.4,55.0,6546.0
2018,09,8.2,66.0,8046.0
2018,10,4.41,30.0,6808.0
2018,11,2.11,17.0,8046.0
2018,12,1.75,10.0,5704.0
2018,13,1.4,8.0,5708.0
