anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,3.63,120.0,33040.0
2018,44,2.67,94.0,35228.0
2018,45,2.82,107.0,37896.0
2018,46,4.13,140.0,33871.0
2018,47,4.06,162.0,39861.0
2018,48,4.47,166.0,37133.0
2018,49,5.69,206.0,36205.0
2018,50,4.96,183.0,36893.0
2018,51,6.3,210.0,33314.0
2018,52,5.53,173.0,31304.0
2019,01,6.28,269.0,42849.0
2019,02,9.13,386.0,42293.0
2019,03,10.33,416.0,40290.0
2019,04,16.68,740.0,44360.0
2019,05,20.46,810.0,39590.0
2019,06,18.72,818.0,43706.0
2019,07,15.03,602.0,40043.0
2019,08,10.51,361.0,34340.0
2019,09,11.61,359.0,30924.0
2019,10,6.79,274.0,40366.0
2019,11,4.71,154.0,32684.0
2019,12,5.71,170.0,29766.0
2019,13,2.72,83.0,30568.0
2019,14,2.85,86.0,30167.0
2019,15,2.2,69.0,31331.0
2019,16,2.1,50.0,23771.0
