anno,settimana,incidenza,numero_casi,numero_assistiti,target
2018,43,0.0,0.0,1584.0,ILI
2018,44,0.0,0.0,0.0,ILI
2018,45,0.0,0.0,0.0,ILI
2018,46,0.09,1.0,11061.0,ILI
2018,47,0.0,0.0,6233.0,ILI
2018,48,0.0,0.0,4696.0,ILI
2018,49,0.16,1.0,6208.0,ILI
2018,50,3.32,15.0,4523.0,ILI
2018,51,2.76,20.0,7247.0,ILI
2018,52,4.98,77.0,15469.0,ILI
2019,1,3.27,53.0,16209.0,ILI
2019,2,4.93,49.0,9930.0,ILI
2019,3,6.69,70.0,10460.0,ILI
2019,4,9.5,86.0,9052.0,ILI
2019,5,11.56,105.0,9084.0,ILI
2019,6,10.87,107.0,9843.0,ILI
2019,7,11.58,144.0,12431.0,ILI
2019,8,12.81,93.0,7260.0,ILI
2019,9,6.1,54.0,8851.0,ILI
2019,10,5.44,45.0,8276.0,ILI
2019,11,3.57,17.0,4766.0,ILI
2019,12,0.75,3.0,3980.0,ILI
