anno,settimana,incidenza,numero_casi,numero_assistiti,target
2018,43,1.15,39.0,33932.0,ILI
2018,44,1.35,62.0,46022.0,ILI
2018,45,2.2,101.0,45880.0,ILI
2018,46,1.58,106.0,67155.0,ILI
2018,47,2.47,156.0,63042.0,ILI
2018,48,2.0,138.0,68950.0,ILI
2018,49,3.05,198.0,64931.0,ILI
2018,50,2.97,209.0,70356.0,ILI
2018,51,3.08,209.0,67794.0,ILI
2018,52,3.37,183.0,54269.0,ILI
2019,1,3.71,303.0,81574.0,ILI
2019,2,5.76,451.0,78280.0,ILI
2019,3,9.21,670.0,72742.0,ILI
2019,4,12.44,1124.0,90348.0,ILI
2019,5,15.2,1286.0,84616.0,ILI
2019,6,13.33,1167.0,87520.0,ILI
2019,7,10.73,926.0,86319.0,ILI
2019,8,9.72,703.0,72350.0,ILI
