anno,settimana,incidenza,numero_casi,numero_assistiti,target
2018,43,2.25,233.0,103480.0,ILI
2018,44,1.46,173.0,118823.0,ILI
2018,45,2.33,238.0,102181.0,ILI
2018,46,2.07,254.0,122460.0,ILI
2018,47,2.75,319.0,115801.0,ILI
2018,48,3.61,419.0,116125.0,ILI
2018,49,3.65,424.0,116052.0,ILI
2018,50,3.58,421.0,117713.0,ILI
2018,51,4.47,476.0,106494.0,ILI
2018,52,3.5,347.0,99260.0,ILI
2019,1,4.68,566.0,121056.0,ILI
2019,2,5.99,751.0,125386.0,ILI
2019,3,8.88,1177.0,132529.0,ILI
2019,4,10.5,1553.0,147899.0,ILI
2019,5,14.81,2147.0,144928.0,ILI
2019,6,15.29,2272.0,148560.0,ILI
2019,7,15.85,2169.0,136815.0,ILI
2019,8,9.28,1084.0,116849.0,ILI
2019,9,6.49,776.0,119607.0,ILI
2019,10,4.55,585.0,128482.0,ILI
2019,11,3.29,438.0,133003.0,ILI
2019,12,2.7,305.0,112918.0,ILI
2019,13,2.09,254.0,121472.0,ILI
2019,14,1.97,193.0,97836.0,ILI
2019,15,1.94,212.0,109510.0,ILI
2019,16,1.91,146.0,76557.0,ILI
