anno,settimana,incidenza,numero_casi,numero_assistiti,target
2018,43,1.74,63.0,36203.0,ILI
2018,44,1.94,85.0,43791.0,ILI
2018,45,2.92,124.0,42534.0,ILI
2018,46,3.61,143.0,39632.0,ILI
2018,47,3.25,170.0,52278.0,ILI
2018,48,3.92,167.0,42611.0,ILI
2018,49,3.19,141.0,44138.0,ILI
2018,50,4.73,210.0,44428.0,ILI
2018,51,4.15,194.0,46711.0,ILI
2018,52,3.97,166.0,41767.0,ILI
2019,1,6.78,307.0,45256.0,ILI
2019,2,6.61,309.0,46770.0,ILI
2019,3,10.07,582.0,57788.0,ILI
2019,4,11.25,554.0,49235.0,ILI
2019,5,13.65,726.0,53184.0,ILI
2019,6,14.53,749.0,51541.0,ILI
2019,7,12.7,677.0,53289.0,ILI
2019,8,10.62,491.0,46254.0,ILI
2019,9,6.05,255.0,42135.0,ILI
2019,10,4.21,180.0,42792.0,ILI
2019,11,4.14,175.0,42302.0,ILI
