anno,settimana,incidenza,numero_casi,numero_assistiti
2018,43,0.56,55.0,97535.0
2018,44,0.54,67.0,124178.0
2018,45,0.97,112.0,115643.0
2018,46,1.32,141.0,107139.0
2018,47,1.14,143.0,125000.0
2018,48,1.21,113.0,93245.0
2018,49,1.45,156.0,107726.0
2018,50,2.13,248.0,116396.0
2018,51,2.35,193.0,82028.0
2018,52,4.33,373.0,86051.0
2019,01,4.93,515.0,104567.0
2019,02,6.44,800.0,124197.0
2019,03,7.82,949.0,121380.0
2019,04,9.79,1164.0,118908.0
2019,05,10.29,1074.0,104413.0
2019,06,9.95,1251.0,125790.0
2019,07,7.07,806.0,113978.0
2019,08,6.36,588.0,92391.0
2019,09,5.04,573.0,113688.0
2019,10,4.67,458.0,98117.0
2019,11,3.31,429.0,129780.0
2019,12,2.59,189.0,73067.0
2019,13,2.02,225.0,111349.0
