anno,settimana,incidenza,numero_casi,numero_assistiti,target
2019,44,0.92,11.0,11919.0,ILI
2019,45,1.56,27.0,17257.0,ILI
2019,46,0.91,15.0,16452.0,ILI
2019,47,1.03,19.0,18395.0,ILI
2019,48,2.08,33.0,15857.0,ILI
2019,49,3.08,51.0,16534.0,ILI
2019,50,3.74,75.0,20073.0,ILI
2019,51,8.08,118.0,14601.0,ILI
2019,52,4.01,44.0,10974.0,ILI
2020,1,3.39,62.0,18263.0,ILI
2020,2,4.72,84.0,17815.0,ILI
2020,3,5.8,91.0,15694.0,ILI
2020,4,8.36,149.0,17815.0,ILI
2020,5,7.67,137.0,17854.0,ILI
2020,6,8.1,152.0,18761.0,ILI
2020,7,8.22,131.0,15937.0,ILI
2020,8,7.63,144.0,18878.0,ILI
