anno,settimana,incidenza,numero_casi,numero_assistiti,target
2019,44,2.43,30.0,12327.0,ILI
2019,45,0.86,12.0,13989.0,ILI
2019,46,2.68,41.0,15308.0,ILI
2019,47,2.96,41.0,13872.0,ILI
2019,48,3.01,37.0,12279.0,ILI
2019,49,4.65,70.0,15038.0,ILI
2019,50,4.89,72.0,14716.0,ILI
2019,51,3.97,56.0,14116.0,ILI
2019,52,5.62,55.0,9783.0,ILI
2020,1,3.86,40.0,10351.0,ILI
2020,2,3.61,60.0,16638.0,ILI
2020,3,4.89,71.0,14515.0,ILI
2020,4,7.15,79.0,11051.0,ILI
2020,5,12.74,155.0,12171.0,ILI
2020,6,9.83,175.0,17796.0,ILI
