anno,settimana,incidenza,numero_casi,numero_assistiti,target
2019,44,0.92,60.0,65147.0,ILI
2019,45,0.96,106.0,110092.0,ILI
2019,46,0.84,83.0,98850.0,ILI
2019,47,1.13,119.0,104961.0,ILI
2019,48,1.61,162.0,100673.0,ILI
2019,49,1.49,145.0,97619.0,ILI
2019,50,1.87,138.0,73840.0,ILI
2019,51,2.28,235.0,103288.0,ILI
2019,52,2.61,281.0,107617.0,ILI
2020,1,3.75,301.0,80285.0,ILI
2020,2,4.95,515.0,103967.0,ILI
2020,3,7.46,794.0,106501.0,ILI
2020,4,8.98,866.0,96400.0,ILI
2020,5,11.55,1271.0,110068.0,ILI
2020,6,11.87,1417.0,119411.0,ILI
2020,7,9.93,862.0,86826.0,ILI
2020,8,7.16,706.0,98547.0,ILI
2020,9,6.54,663.0,101375.0,ILI
