anno,settimana,incidenza,numero_casi,numero_assistiti,target
2020,49,0.0,0.0,0.0,ILI
2020,50,0.0,0.0,0.0,ILI
2020,51,0.0,0.0,0.0,ILI
2020,52,0.0,0.0,0.0,ILI
2020,53,0.0,0.0,0.0,ILI
2021,1,0.0,0.0,0.0,ILI
2021,2,0.0,0.0,0.0,ILI
2021,3,0.0,0.0,0.0,ILI
2021,4,0.0,0.0,0.0,ILI
2021,5,1.77,35.0,19756.0,ILI
2021,6,1.36,25.0,18335.0,ILI
2021,7,2.0,41.0,20522.0,ILI
2021,8,0.58,13.0,22522.0,ILI
2021,9,1.84,30.0,16343.0,ILI
2021,10,1.74,19.0,10919.0,ILI
2021,11,1.87,30.0,16033.0,ILI
2021,12,0.69,10.0,14558.0,ILI
2021,13,0.21,3.0,14496.0,ILI
2021,14,0.32,8.0,24841.0,ILI
2021,15,0.19,4.0,21418.0,ILI
2021,16,1.2,20.0,16658.0,ILI
