anno,settimana,incidenza,numero_casi,numero_assistiti,target
2020,49,0.0,0.0,0.0,ILI
2020,50,0.73,4.0,5488.0,ILI
2020,51,0.81,3.0,3697.0,ILI
2020,52,0.75,5.0,6690.0,ILI
2020,53,1.79,3.0,1678.0,ILI
2021,1,2.26,12.0,5302.0,ILI
2021,2,0.9,6.0,6690.0,ILI
2021,3,0.64,5.0,7823.0,ILI
2021,4,0.51,4.0,7905.0,ILI
2021,5,0.31,2.0,6504.0,ILI
2021,6,1.15,6.0,5202.0,ILI
2021,7,1.7,9.0,5302.0,ILI
2021,8,1.62,6.0,3697.0,ILI
2021,9,0.77,5.0,6504.0,ILI
2021,10,3.39,18.0,5302.0,ILI
2021,11,2.26,12.0,5302.0,ILI
2021,12,0.96,5.0,5202.0,ILI
2021,13,0.27,1.0,3697.0,ILI
