anno,settimana,incidenza,numero_casi,numero_assistiti
2020,42,1.33,1941,1455285
2020,43,1.73,2525,1462944
2020,44,1.93,2898,1498892
2020,45,2.04,3167,1554797
2020,46,1.93,3041,1576062
2020,47,1.84,2916,1583049
2020,48,1.68,2683,1598046
2020,49,1.54,2470,1607691
2020,50,1.39,2248,1615535
2020,51,1.42,2289,1612212
2020,52,1.25,2015,1613750
2020,53,1.27,2046,1610204
2021,01,1.3,2112,1621757
2021,02,1.35,2182,1619376
2021,03,1.41,2263,1604170
2021,04,1.41,2234,1584547
2021,05,1.53,2377,1557370
2021,06,1.49,2281,1534611
2021,07,1.58,2379,1502515
