anno,settimana,incidenza,numero_casi,numero_assistiti,target
2020,49,1.28,6.0,4690.0,ILI
2020,50,1.07,5.0,4678.0,ILI
2020,51,0.0,0.0,0.0,ILI
2020,52,0.0,0.0,0.0,ILI
2020,53,0.0,0.0,0.0,ILI
2021,1,0.0,0.0,0.0,ILI
2021,2,0.41,7.0,16979.0,ILI
2021,3,1.22,15.0,12258.0,ILI
2021,4,1.98,20.0,10085.0,ILI
2021,5,2.01,24.0,11914.0,ILI
2021,6,0.89,11.0,12345.0,ILI
2021,7,1.53,8.0,5235.0,ILI
2021,8,0.94,13.0,13861.0,ILI
2021,9,1.74,15.0,8617.0,ILI
2021,10,1.99,15.0,7549.0,ILI
2021,11,2.06,14.0,6784.0,ILI
2021,12,1.66,10.0,6022.0,ILI
2021,13,1.63,8.0,4915.0,ILI
2021,14,0.79,6.0,7599.0,ILI
