anno,settimana,incidenza,numero_casi,numero_assistiti,target
2020,49,2.24,326.0,145730.0,ILI
2020,50,2.39,323.0,135420.0,ILI
2020,51,2.26,323.0,142705.0,ILI
2020,52,1.94,261.0,134503.0,ILI
2020,53,1.87,228.0,122024.0,ILI
2021,1,1.77,243.0,136921.0,ILI
2021,2,1.24,175.0,140571.0,ILI
2021,3,1.59,227.0,142860.0,ILI
2021,4,1.03,134.0,130033.0,ILI
2021,5,1.49,157.0,105045.0,ILI
2021,6,1.06,156.0,147299.0,ILI
2021,7,1.07,147.0,137045.0,ILI
2021,8,1.24,130.0,105130.0,ILI
2021,9,1.37,127.0,92758.0,ILI
2021,10,1.04,162.0,155130.0,ILI
2021,11,1.37,189.0,137891.0,ILI
2021,12,0.96,146.0,152154.0,ILI
