anno,settimana,incidenza,numero_casi,numero_assistiti,target
2020,49,4.78,29.0,6073.0,ILI
2020,50,0.65,1.0,1544.0,ILI
2020,51,4.2,19.0,4520.0,ILI
2020,52,4.65,21.0,4520.0,ILI
2020,53,1.98,9.0,4537.0,ILI
2021,1,0.32,1.0,3080.0,ILI
2021,2,0.97,3.0,3097.0,ILI
2021,3,0.65,2.0,3097.0,ILI
2021,4,1.94,6.0,3097.0,ILI
2021,5,1.25,9.0,7174.0,ILI
2021,6,0.65,2.0,3077.0,ILI
2021,7,3.09,14.0,4537.0,ILI
2021,8,0.32,1.0,3097.0,ILI
2021,9,3.54,16.0,4520.0,ILI
2021,10,1.08,5.0,4633.0,ILI
2021,11,3.13,19.0,6073.0,ILI
2021,12,4.19,19.0,4537.0,ILI
