anno,settimana,incidenza,numero_casi,numero_assistiti,target
2021,44,0.0,0.0,0.0,ILI
2021,45,0.0,0.0,0.0,ILI
2021,46,0.0,0.0,0.0,ILI
2021,47,0.0,0.0,13260.0,ILI
2021,48,0.4,5.0,12597.0,ILI
2021,49,1.28,20.0,15639.0,ILI
2021,50,0.71,10.0,14147.0,ILI
2021,51,1.47,23.0,15639.0,ILI
2021,52,1.6,25.0,15639.0,ILI
2022,1,1.9,28.0,14752.0,ILI
2022,2,0.7,11.0,15639.0,ILI
2022,3,0.71,10.0,14147.0,ILI
2022,4,0.21,3.0,14147.0,ILI
2022,5,0.49,7.0,14147.0,ILI
2022,6,0.57,8.0,14147.0,ILI
2022,7,1.06,15.0,14147.0,ILI
