anno,settimana,incidenza,numero_casi,numero_assistiti,target
2021,44,3.06,26.0,8487.0,ILI
2021,45,3.57,58.0,16231.0,ILI
2021,46,6.49,71.0,10944.0,ILI
2021,47,5.25,83.0,15823.0,ILI
2021,48,4.16,51.0,12259.0,ILI
2021,49,3.15,58.0,18421.0,ILI
2021,50,4.63,76.0,16431.0,ILI
2021,51,5.04,91.0,18040.0,ILI
2021,52,5.68,70.0,12323.0,ILI
2022,1,5.07,85.0,16750.0,ILI
2022,2,3.42,55.0,16097.0,ILI
2022,3,4.18,73.0,17475.0,ILI
2022,4,3.21,59.0,18404.0,ILI
2022,5,2.69,46.0,17102.0,ILI
2022,6,2.27,35.0,15392.0,ILI
2022,7,1.91,36.0,18805.0,ILI
2022,8,1.61,26.0,16191.0,ILI
2022,9,3.29,64.0,19457.0,ILI
