anno,settimana,incidenza,numero_casi,numero_assistiti
2021,44,0.0,0.0,0.0
2021,45,1.96,12.0,6118.0
2021,46,1.58,14.0,8842.0
2021,47,2.35,18.0,7659.0
2021,48,3.13,24.0,7659.0
2021,49,1.47,13.0,8842.0
2021,50,2.35,18.0,7659.0
2021,51,1.96,14.0,7127.0
2021,52,1.36,6.0,4403.0
2022,01,1.82,8.0,4403.0
2022,02,3.22,18.0,5586.0
2022,03,2.87,22.0,7659.0
2022,04,1.7,15.0,8842.0
2022,05,0.91,7.0,7659.0
2022,06,1.04,8.0,7659.0
2022,07,2.74,21.0,7659.0
2022,08,1.83,14.0,7659.0
2022,09,3.26,25.0,7659.0
2022,10,2.09,16.0,7659.0
2022,11,4.7,36.0,7659.0
2022,12,2.35,18.0,7659.0
2022,13,3.0,23.0,7659.0
2022,14,1.96,15.0,7659.0
2022,15,1.55,10.0,6462.0
