anno,settimana,incidenza,numero_casi,numero_assistiti,target
2021,44,0.0,0.0,0.0,ILI
2021,45,1.96,12.0,6118.0,ILI
2021,46,1.58,14.0,8842.0,ILI
2021,47,2.35,18.0,7659.0,ILI
2021,48,3.13,24.0,7659.0,ILI
2021,49,1.47,13.0,8842.0,ILI
2021,50,2.35,18.0,7659.0,ILI
2021,51,1.96,14.0,7127.0,ILI
2021,52,1.36,6.0,4403.0,ILI
2022,1,1.82,8.0,4403.0,ILI
2022,2,3.22,18.0,5586.0,ILI
2022,3,2.87,22.0,7659.0,ILI
2022,4,1.7,15.0,8842.0,ILI
2022,5,0.91,7.0,7659.0,ILI
2022,6,1.04,8.0,7659.0,ILI
2022,7,2.74,21.0,7659.0,ILI
2022,8,1.83,14.0,7659.0,ILI
2022,9,3.26,25.0,7659.0,ILI
2022,10,2.09,16.0,7659.0,ILI
2022,11,4.7,36.0,7659.0,ILI
2022,12,2.35,18.0,7659.0,ILI
2022,13,3.0,23.0,7659.0,ILI
2022,14,1.96,15.0,7659.0,ILI
2022,15,1.55,10.0,6462.0,ILI
2022,16,1.55,10.0,6462.0,ILI
2022,17,5.01,6.0,1197.0,ILI
