anno,settimana,incidenza,numero_casi,numero_assistiti,target
2021,44,2.49,110.0,44188.0,ILI
2021,45,2.97,164.0,55231.0,ILI
2021,46,2.92,172.0,58821.0,ILI
2021,47,3.51,161.0,45872.0,ILI
2021,48,2.84,121.0,42625.0,ILI
2021,49,3.39,147.0,43373.0,ILI
2021,50,4.03,178.0,44129.0,ILI
2021,51,5.68,261.0,45929.0,ILI
2021,52,6.25,248.0,39671.0,ILI
2022,1,5.68,314.0,55243.0,ILI
2022,2,3.8,162.0,42628.0,ILI
2022,3,3.4,162.0,47672.0,ILI
2022,4,3.85,154.0,39993.0,ILI
2022,5,2.5,98.0,39191.0,ILI
2022,6,2.15,110.0,51220.0,ILI
2022,7,2.18,112.0,51374.0,ILI
2022,8,2.88,112.0,38824.0,ILI
2022,9,2.32,118.0,50807.0,ILI
2022,10,3.04,125.0,41073.0,ILI
2022,11,3.93,205.0,52225.0,ILI
2022,12,4.72,250.0,52988.0,ILI
