anno,settimana,incidenza,numero_casi,numero_assistiti
2022,42,4.4,7925,1799226
2022,43,4.54,8121,1787204
2022,44,5.2,9405,1808237
2022,45,6.99,12975,1856939
2022,46,9.67,18385,1900514
2022,47,13.04,24953,1913683
2022,48,15.72,30169,1919494
2022,49,15.63,30597,1957394
2022,50,15.33,30107,1963837
2022,51,14.03,27456,1957549
2022,52,12.32,23868,1938027
2023,01,10.74,20698,1926449
2023,02,10.3,20426,1983114
2023,03,9.26,18202,1966688
2023,04,8.78,17092,1947201
2023,05,8.54,16637,1948426
2023,06,8.25,15956,1934415
2023,07,8.07,15555,1926738
2023,08,8.1,15461,1908078
2023,09,7.48,14065,1880329
2023,10,6.9,12744,1847055
2023,11,5.99,10895,1819421
2023,12,5.7,10079,1768463
2023,13,5.13,8922,1737511
2023,14,4.63,7693,1662080
2023,15,4.44,6961,1569317
