anno,settimana,incidenza,numero_casi,numero_assistiti,target
2022,43,1.75,15.0,8583.0,ILI
2022,44,2.16,58.0,26893.0,ILI
2022,45,4.13,153.0,37076.0,ILI
2022,46,6.45,218.0,33797.0,ILI
2022,47,10.85,327.0,30143.0,ILI
2022,48,12.43,458.0,36841.0,ILI
2022,49,14.96,644.0,43041.0,ILI
2022,50,15.4,604.0,39212.0,ILI
2022,51,12.56,378.0,30105.0,ILI
2022,52,11.33,355.0,31328.0,ILI
2023,1,8.84,359.0,40604.0,ILI
2023,2,9.33,315.0,33756.0,ILI
2023,3,6.19,356.0,57535.0,ILI
2023,4,7.12,333.0,46779.0,ILI
2023,5,7.61,422.0,55426.0,ILI
