anno,settimana,incidenza,numero_casi,numero_assistiti,target
2022,43,0.0,0.0,0.0,ILI
2022,44,0.0,0.0,0.0,ILI
2022,45,3.44,30.0,8731.0,ILI
2022,46,6.21,64.0,10310.0,ILI
2022,47,16.09,123.0,7645.0,ILI
2022,48,8.82,57.0,6462.0,ILI
2022,49,26.06,341.0,13087.0,ILI
2022,50,13.78,164.0,11904.0,ILI
2022,51,10.37,81.0,7811.0,ILI
2022,52,5.94,44.0,7412.0,ILI
2023,1,5.64,42.0,7451.0,ILI
2023,2,5.01,35.0,6983.0,ILI
2023,3,4.8,46.0,9577.0,ILI
2023,4,4.59,44.0,9584.0,ILI
2023,5,7.15,70.0,9785.0,ILI
2023,6,6.79,72.0,10599.0,ILI
2023,7,7.13,64.0,8972.0,ILI
2023,8,4.3,44.0,10244.0,ILI
2023,9,4.03,21.0,5210.0,ILI
2023,10,4.49,43.0,9577.0,ILI
2023,11,4.11,47.0,11427.0,ILI
2023,12,2.82,27.0,9584.0,ILI
2023,13,3.6,31.0,8602.0,ILI
2023,14,3.32,28.0,8434.0,ILI
2023,15,1.46,12.0,8219.0,ILI
2023,16,3.32,32.0,9632.0,ILI
2023,17,1.49,14.0,9416.0,ILI
