anno,settimana,incidenza,numero_casi,numero_assistiti,target
2022,43,6.37,478.0,75002.0,ILI
2022,44,6.32,547.0,86517.0,ILI
2022,45,8.84,742.0,83976.0,ILI
2022,46,9.92,824.0,83086.0,ILI
2022,47,14.03,1164.0,82943.0,ILI
2022,48,17.75,1611.0,90771.0,ILI
2022,49,19.81,1517.0,76582.0,ILI
2022,50,21.28,1793.0,84258.0,ILI
2022,51,14.75,866.0,58716.0,ILI
2022,52,13.45,847.0,62951.0,ILI
2023,1,10.83,757.0,69918.0,ILI
2023,2,11.71,800.0,68307.0,ILI
2023,3,9.24,754.0,81612.0,ILI
2023,4,9.43,690.0,73200.0,ILI
2023,5,8.8,627.0,71219.0,ILI
2023,6,10.38,737.0,70997.0,ILI
2023,7,9.48,620.0,65412.0,ILI
2023,8,7.96,586.0,73579.0,ILI
2023,9,7.91,586.0,74116.0,ILI
2023,10,6.66,488.0,73258.0,ILI
2023,11,5.46,366.0,67028.0,ILI
2023,12,6.11,415.0,67932.0,ILI
2023,13,4.62,323.0,69968.0,ILI
2023,14,3.52,231.0,65715.0,ILI
2023,15,3.93,311.0,79186.0,ILI
