anno,settimana,incidenza,numero_casi,numero_assistiti,target
2022,43,0.0,0.0,0.0,ILI
2022,44,0.0,0.0,0.0,ILI
2022,45,0.0,0.0,0.0,ILI
2022,46,0.0,0.0,0.0,ILI
2022,47,0.0,0.0,0.0,ILI
2022,48,0.0,0.0,0.0,ILI
2022,49,0.0,0.0,0.0,ILI
2022,50,0.0,0.0,0.0,ILI
2022,51,0.0,0.0,0.0,ILI
2022,52,11.28,180.0,15963.0,ILI
2023,1,7.53,143.0,18996.0,ILI
2023,2,7.11,135.0,18996.0,ILI
2023,3,7.26,138.0,18996.0,ILI
2023,4,8.35,146.0,17488.0,ILI
2023,5,7.44,121.0,16259.0,ILI
2023,6,6.05,115.0,18996.0,ILI
2023,7,7.3,130.0,17798.0,ILI
2023,8,7.0,133.0,18996.0,ILI
2023,9,6.74,128.0,18996.0,ILI
