anno,settimana,numero_casi,numero_assistiti,incidenza
2023,45,44.0,15934.0,2.76
2023,46,113.0,18081.0,6.25
2023,47,276.0,42464.0,6.5
2023,48,226.0,39438.0,5.73
2023,49,372.0,45697.0,8.14
2023,50,935.0,29622.0,31.56
2023,51,461.0,19610.0,23.51
2023,52,659.0,26885.0,24.51
2024,1,883.0,49550.0,17.82
2024,2,791.0,49317.0,16.04
2024,3,628.0,29408.0,21.35
2024,4,380.0,41699.0,9.11
2024,5,462.0,49866.0,9.26
2024,6,249.0,36937.0,6.74
2024,7,316.0,44327.0,7.13
2024,8,124.0,19422.0,6.38
2024,9,268.0,43919.0,6.1
2024,10,236.0,37659.0,6.27
2024,11,153.0,21577.0,7.09
2024,12,179.0,33127.0,5.4
2024,13,157.0,27883.0,5.63
