anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,45,810.0,124027.0,6.53,ILI
2023,46,1030.0,118724.0,8.68,ILI
2023,47,1445.0,137095.0,10.54,ILI
2023,48,1581.0,139379.0,11.34,ILI
2023,49,1295.0,126195.0,10.26,ILI
2023,50,2298.0,138495.0,16.59,ILI
2023,51,2431.0,120409.0,20.19,ILI
2023,52,2392.0,120556.0,19.84,ILI
2024,1,2105.0,136984.0,15.37,ILI
2024,2,1724.0,141154.0,12.21,ILI
2024,3,1620.0,154771.0,10.47,ILI
2024,4,1257.0,135622.0,9.27,ILI
2024,5,1180.0,138346.0,8.53,ILI
2024,6,1109.0,133544.0,8.3,ILI
2024,7,919.0,131531.0,6.99,ILI
