anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,42,10136,2042517,4.96,ILI
2023,43,10669,2050613,5.2,ILI
2023,44,11518,2058230,5.6,ILI
2023,45,14609,2106516,6.94,ILI
2023,46,17724,2151285,8.24,ILI
2023,47,21260,2178674,9.76,ILI
2023,48,25359,2196500,11.55,ILI
2023,49,27828,2211275,12.58,ILI
2023,50,35093,2218016,15.82,ILI
2023,51,39702,2169885,18.3,ILI
2023,52,39674,2134997,18.58,ILI
2024,1,36454,2133185,17.09,ILI
2024,2,31016,2152182,14.41,ILI
2024,3,25237,2126215,11.87,ILI
2024,4,20624,2084809,9.89,ILI
2024,5,18047,2022525,8.92,ILI
2024,6,15809,1953328,8.09,ILI
2024,7,12469,1810886,6.89,ILI
2024,8,10000,1492636,6.7,ILI
