anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,45,1046.0,217467.0,4.81,ILI
2023,46,1243.0,214737.0,5.79,ILI
2023,47,1803.0,244478.0,7.37,ILI
2023,48,2114.0,227243.0,9.3,ILI
2023,49,1984.0,20689.0,9.59,ILI
2023,50,2628.0,221236.0,11.88,ILI
2023,51,3137.0,227584.0,13.78,ILI
2023,52,3968.0,240782.0,16.48,ILI
2024,1,4221.0,257819.0,16.37,ILI
2024,2,3300.0,242054.0,13.63,ILI
2024,3,2700.0,244581.0,11.04,ILI
2024,4,1988.0,226857.0,8.76,ILI
2024,5,1738.0,243542.0,7.14,ILI
2024,6,1674.0,235689.0,7.1,ILI
