anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,45,78.0,16959.0,4.6,ILI
2023,46,117.0,18045.0,6.48,ILI
2023,47,119.0,18148.0,6.56,ILI
2023,48,90.0,18395.0,4.89,ILI
2023,49,132.0,19856.0,6.65,ILI
2023,50,202.0,1786.0,11.31,ILI
2023,51,234.0,16277.0,14.38,ILI
2023,52,257.0,15436.0,16.65,ILI
2024,1,220.0,18053.0,12.19,ILI
2024,2,189.0,19060.0,9.92,ILI
2024,3,236.0,20551.0,11.48,ILI
2024,4,73.0,11670.0,6.26,ILI
2024,5,107.0,15172.0,7.05,ILI
2024,6,88.0,15149.0,5.81,ILI
2024,7,81.0,17241.0,4.7,ILI
2024,8,65.0,13307.0,4.88,ILI
2024,9,34.0,15909.0,2.14,ILI
