anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,45,64.0,2005.0,3.19,ILI
2023,46,82.0,1856.0,4.42,ILI
2023,47,80.0,19397.0,4.12,ILI
2023,48,152.0,19674.0,7.73,ILI
2023,49,143.0,21776.0,6.57,ILI
2023,50,117.0,19043.0,6.14,ILI
2023,51,202.0,11953.0,16.9,ILI
2023,52,384.0,20887.0,18.38,ILI
2024,1,489.0,24177.0,20.23,ILI
2024,2,459.0,24177.0,18.98,ILI
2024,3,342.0,22686.0,15.08,ILI
2024,4,329.0,22686.0,14.5,ILI
2024,5,308.0,22686.0,13.58,ILI
2024,6,264.0,24177.0,10.92,ILI
2024,7,239.0,24177.0,9.89,ILI
2024,8,232.0,24177.0,9.6,ILI
2024,9,255.0,21110.0,12.08,ILI
2024,10,222.0,24177.0,9.18,ILI
