anno,settimana,numero_casi,numero_assistiti,incidenza,target
2023,45,458.0,80835.0,5.67,ILI
2023,46,679.0,96944.0,7.0,ILI
2023,47,914.0,112871.0,8.1,ILI
2023,48,1089.0,114484.0,9.51,ILI
2023,49,1145.0,112753.0,10.15,ILI
2023,50,1543.0,10689.0,14.44,ILI
2023,51,1533.0,90517.0,16.94,ILI
2023,52,1375.0,95684.0,14.37,ILI
2024,1,1381.0,112829.0,12.24,ILI
2024,2,1367.0,128512.0,10.64,ILI
2024,3,1093.0,125256.0,8.73,ILI
2024,4,983.0,125172.0,7.85,ILI
2024,5,892.0,122024.0,7.31,ILI
2024,6,910.0,115091.0,7.91,ILI
2024,7,659.0,113645.0,5.8,ILI
2024,8,516.0,100882.0,5.11,ILI
