anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,146,49949,2.92298144106989,ILI
2024,43,223,49949,4.46455384492182,ILI
2024,44,233,49949,4.66475805321428,ILI
2024,45,339,51554,6.57562943709508,ILI
2024,46,295,52426,5.62697897989547,ILI
2024,47,392,50907,7.70031626298937,ILI
2024,48,586,53649,10.9228503793174,ILI
2024,49,624,54749,11.3974684469123,ILI
2024,50,852,49987,17.0444315522036,ILI
2024,51,994,49987,19.8851701442375,ILI
2024,52,1114,51552,21.6092489137182,ILI
2025,1,1193,48361,24.6686379520688,ILI
2025,2,1277,48361,26.4055747399764,ILI
2025,3,1055,46737,22.5731219376511,ILI
2025,4,1042,46737,22.2949697242014,ILI
2025,5,1203,46976,25.6088215258856,ILI
2025,6,1027,46175,22.2414726583649,ILI
2025,7,897,43053,20.8347850324019,ILI
2025,8,775,40526,19.1235256378621,ILI
2025,9,692,37291,18.5567563219007,ILI
2025,10,413,27878,14.8145491068226,ILI
2025,11,217,19300,11.2435233160622,ILI
