anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,13701,2301674,5.95262404667212,ILI
2024,43,13508,2307931,5.85286128571435,ILI
2024,44,12926,2324088,5.56175153436531,ILI
2024,45,16089,2357517,6.8245531209319,ILI
2024,46,17646,2383212,7.40429302974305,ILI
2024,47,19236,2393519,8.03670244522814,ILI
2024,48,20400,2386881,8.54671850000063,ILI
2024,49,21649,2391927,9.05086150204417,ILI
2024,50,24376,2393190,10.1855682164809,ILI
2024,51,25545,2378387,10.7404724294238,ILI
2024,52,24340,2312549,10.5251823853246,ILI
2025,1,28959,2340599,12.372473883822,ILI
2025,2,35794,2393801,14.9527884732273,ILI
2025,3,38339,2386600,16.0642755384229,ILI
2025,4,41349,2377532,17.3915640252161,ILI
2025,5,39988,2374476,16.8407682368657,ILI
2025,6,35905,2351779,15.267165834885,ILI
2025,7,33355,2340612,14.250546438282,ILI
2025,8,30467,2331175,13.0693748860553,ILI
2025,9,26150,2314776,11.2969894279187,ILI
2025,10,22438,2289186,9.80173738612764,ILI
2025,11,19486,2267864,8.59222598886,ILI
2025,12,16621,2238529,7.42496523386563,ILI
2025,13,14978,2185730,6.85263047128419,ILI
2025,14,12774,2099066,6.08556376979095,ILI
2025,15,11203,1952479,5.73783380000502,ILI
2025,16,7350,1498810,4.90389041973299,ILI
