anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,352,182523,1.92852407641777,ILI
2024,43,466,181166,2.57222657673073,ILI
2024,44,495,181163,2.73234600884287,ILI
2024,45,800,181163,4.41591274156423,ILI
2024,46,932,181163,5.14453834392232,ILI
2024,47,1044,181163,5.76276612774132,ILI
2024,48,1101,181163,6.07739991057777,ILI
2024,49,1237,181163,6.82810507664369,ILI
2024,50,1599,182671,8.75344198039098,ILI
2024,51,1961,182671,10.7351467939629,ILI
2024,52,2129,181172,11.7512639922284,ILI
2025,1,2532,182671,13.8609850496247,ILI
2025,2,2962,184028,16.0953767904884,ILI
2025,3,3635,184028,19.752428978199,ILI
2025,4,3697,184028,20.0893342317473,ILI
2025,5,3363,184028,18.274393027148,ILI
2025,6,3389,182463,18.5736286260776,ILI
2025,7,3410,182463,18.6887204529137,ILI
2025,8,2973,179596,16.5538207977906,ILI
2025,9,2390,175465,13.6209500470179,ILI
2025,10,2252,174445,12.9095130270286,ILI
2025,11,1788,173520,10.3042876901798,ILI
2025,12,1351,168952,7.99635399403381,ILI
2025,13,1190,161704,7.35912531539109,ILI
2025,14,986,154729,6.37243180011504,ILI
2025,15,505,109901,4.59504463107706,ILI
