anno,settimana,numero_casi,numero_assistiti,incidenza,target
2024,42,593,108672,5.45678739693757,ILI
2024,43,570,112877,5.04974441205914,ILI
2024,44,602,115795,5.19884278250356,ILI
2024,45,799,122948,6.49868236978235,ILI
2024,46,906,124631,7.26945944427951,ILI
2024,47,971,123184,7.88251721002728,ILI
2024,48,1058,123102,8.59449887085506,ILI
2024,49,1070,122905,8.70591106952524,ILI
2024,50,1212,124458,9.73822494335438,ILI
2024,51,1551,122906,12.6194001920167,ILI
2024,52,1437,119066,12.0689365561957,ILI
2025,1,1719,118958,14.4504783200794,ILI
2025,2,1869,120280,15.538742933156,ILI
2025,3,1766,114943,15.3641370070383,ILI
2025,4,1823,111619,16.332344851683,ILI
2025,5,1368,101433,13.4867350862145,ILI
2025,6,1024,89587,11.4302298324534,ILI
